YPF,Tenaris,Telecom,PetrAR,PampaE,B.Gal,B.Fran,Siderar,EDN,COME,B.Macro,PetrBR,Aluar
78,135,13.5,2.96,0.83,3.65,9.25,1.25,0.61,0.41,10.15,62.05,2.03
75,136.8,12.65,2.77,0.88,3.26,8.3,1.27,0.66,0.4,9.3,66.4,2.06
68,130,13.2,2.75,0.9,3.33,8.55,1.23,0.58,0.41,9.8,65,2.2
72.6,128,13.5,3,0.89,3.49,8.6,1.26,0.62,0.44,9.7,72,2.21
74.3,129,13.6,2.94,0.93,3.41,8.45,1.29,0.63,0.51,9.26,72.7,2.26
76.4,122.5,12.8,2.82,0.86,3.41,8.2,1.29,0.63,0.54,9,72.9,2.22
79.2,125.7,13.15,2.82,0.9,3.62,8.7,1.33,0.61,0.57,9.25,72.3,2.2
78.3,125,12.8,2.8,0.9,3.59,8.5,1.36,0.62,0.55,8.75,72,2.27
79,129,13.5,2.82,0.95,3.73,9.1,1.41,0.71,0.59,9.33,71.9,2.37
82.1,130,12.7,2.93,0.92,3.6,8.6,1.43,0.7,0.62,9,72,2.42
85.2,132.5,13.45,2.8,0.94,3.89,9.65,1.45,0.71,0.62,9.9,74,2.34
82.95,140.5,13.6,5.76,0.97,3.61,8.55,1.51,0.71,0.58,9.03,75.7,2.31
83.5,136.95,12.5,5.2,0.98,3.21,7.53,1.32,0.72,0.59,8.6,70.5,2.24
80.8,136,14.65,5.35,1.02,3.21,7.6,1.43,0.71,0.6,8.16,67.85,2.49
82.45,136,15.25,5.4,1.08,3.27,7.65,1.53,0.78,0.62,8.29,70.85,2.5
77.5,134.7,15.65,5.69,1.06,3.3,8.01,1.48,0.71,0.61,8.8,71.5,2.49
75.3,128.55,15.2,5.76,1.06,3.24,8.2,1.52,0.74,0.61,8.8,66.9,2.52
76.8,133.5,15.15,5.75,1.11,3.12,7.6,1.54,0.78,0.61,8.13,65.45,2.58
81.6,128.9,15.3,5.6,1.13,3.13,7.7,1.63,0.85,0.63,8.05,67.85,2.7
82.6,123,15.3,5.55,1.15,2.97,7.55,1.69,0.81,0.64,8.08,66,2.65
83,119,15.5,5.37,1.11,3.01,7.42,1.65,0.74,0.69,8.15,65.5,2.54
86.9,115.2,15.55,5.39,1.14,2.94,7.5,1.72,0.77,0.68,8.1,65.35,2.65
81,114,15.45,5.07,1.08,3.04,7.55,1.71,0.7,0.63,8.35,61.3,2.66
77.5,109.45,15.7,5.15,1.1,3.07,7.69,1.71,0.66,0.64,8.35,65.2,2.72
75.05,107,14.6,5.35,1.09,2.91,7.5,1.63,0.7,0.63,8.1,61.9,2.65
76.5,100,14.9,5.05,1.06,2.85,7.32,1.6,0.69,0.63,7.85,60.5,2.71
81.5,96.5,15,5.48,1.12,2.89,7.7,1.6,0.71,0.59,8,60.5,2.57
84,101.6,15.4,5.67,1.17,3.1,8.35,1.65,0.76,0.62,8.58,61,2.72
73.5,97.95,14.5,5.65,1.12,2.78,7.55,1.35,0.66,0.61,8.25,58.7,2.34
87,99,15.2,5.85,1.33,2.95,8.4,1.33,0.73,0.67,8.8,57.8,2.4
85.5,99.5,15.1,6.08,1.36,2.88,8.1,1.25,0.63,0.65,8.21,60.1,2.26
76,103.8,16.15,6,1.39,2.98,8.6,1.32,0.65,0.69,8.25,63.5,2.37
79,95.5,16.2,6.59,1.57,3.06,9.05,1.35,0.72,0.72,8.79,65.45,2.3
121,96,18,6.4,1.66,3.22,10.25,1.54,0.94,0.74,9.23,65,2.48
118,98.5,18.25,6.3,1.69,3.15,10.2,1.59,0.96,0.79,9.35,65.5,2.5
147,99.6,18.6,6.95,1.77,3.4,10.5,1.74,1.04,0.81,10.25,68.6,2.65
143.9,100.2,18.8,6.7,1.75,3.43,10.25,1.73,1.03,0.85,10.85,69,2.75
137.5,104.4,18.7,6.53,1.95,3.51,10.15,1.73,1.14,0.89,10.5,69.75,2.92
132,99.3,17.6,6.4,1.94,3.26,9.4,1.79,1.2,0.84,9.5,68.1,2.76
141,97.5,18.25,6.87,2.01,3.54,10,1.88,1.34,0.82,10,72.25,2.74
159,97.15,18.4,7.22,2.02,3.5,9.75,1.82,1.39,0.69,10.4,71.8,2.78
156.5,96,19.1,7.26,2.02,3.61,9.89,1.92,1.34,0.62,10.9,70.6,2.83
162,93.25,19.2,7.2,2.03,3.45,9.8,2.03,1.43,0.56,10.4,71,2.88
154,88,20,7.3,2.02,3.61,9.75,1.97,1.45,0.65,11.4,71.75,3
180.5,89,19.5,7.35,2.05,3.5,9.5,1.87,1.46,0.65,11.5,68.95,3
182,92.5,19.85,7.15,2.09,3.7,10.1,1.95,1.52,0.62,11.9,69,3.12
170,91,18.65,6.6,2.07,3.42,9.4,1.91,1.5,0.58,10.85,66.5,2.89
172,91.2,18.3,6.65,2.12,3.61,9.87,1.99,1.65,0.6,10.65,61.7,3
167.55,86.7,17,6.19,1.96,2.86,7.95,1.73,1.41,0.59,9.45,57.5,2.6
164,87.95,17.25,6,1.93,2.88,7.95,1.73,1.34,0.52,9.4,59.5,2.6
156,83,17.5,6,1.96,3,8,1.75,1.41,0.53,9.4,59.5,2.56
157,85.7,17.2,5.9,2.05,3.14,8.1,1.77,1.4,0.56,9.55,63,2.6
162.5,89.25,18.15,6.29,2.16,3.4,8.7,1.88,1.52,0.58,10,65,2.7
153.8,74,16.65,6.15,2.11,3.21,8.15,1.7,1.44,0.57,9,57.05,2.48
164,78.5,16.75,6.4,2.1,3.3,8.6,1.69,1.52,0.59,9,60.5,2.56
170,85.6,18.2,6.39,2.26,3.85,9.6,1.82,1.75,0.63,10.4,65.15,2.81
154,83.9,19.4,6.7,2.4,3.89,10,1.78,1.89,0.6,9.77,64.5,3.03
167,81.95,20.15,6.9,2.54,4.5,11,2.09,1.99,0.65,11.1,65.4,3.19
178.5,71.5,19.8,7.1,2.49,4.65,11.1,1.93,1.89,0.65,11.15,58.6,3
178,68,18.5,6.7,2.31,4.45,9.96,1.87,1.62,0.63,10.5,56,2.88
171,63,16.95,6.2,2.08,3.84,8.5,1.58,1.34,0.56,9.4,52,2.68
173.4,59.5,17.5,6.3,2.17,3.91,8.8,1.64,1.4,0.6,9.5,50,2.67
164.5,60.8,17.5,6.7,2.08,4.1,9.23,1.69,1.44,0.65,10,53,2.81
175,68,18.2,7.3,2.15,4.55,10.45,1.85,1.56,0.7,10.7,57.5,2.99
